Animal,Conejo Belier Holandes,700,imgroe\Animales\belier.JPG,"Ponemos a la venta los únicos y auténticos holland lop 100% puros, los únicos en México y solo para conocedores ,con 25 cm de lo gitud en etapa adulta y un peso de 1200 gramos en etapa adulta , contamos con colores como: mariposa turinjia,mariposa chocolate , y agouty.",Belier,1.2,0.25,Beige
Animal,Conejo Rex,800,imgroe\Animales\rex.JPG,Se trata de conejos muy activos que necesitan a una familia que le permita correr por la casa en diferentes momentos del día. Puedes habilitarle una zona sin peligros y dejarle la jaula abierta. Son sociables y simpáticos.,Rex,5,0.2,Chocolate
Animal,Conejo cabeza de leon ,900,imgroe\Animales\leon.JPG,El conejo cabeza de león destaca por ser una muy buena mascota para quienes adoran tener al conejo entre sus brazos largas horas ya que se trata de ejemplares simpáticos y calmados. Le encantará que le acaricies y que le prestes atenciones.,Lionhead,2,0.3,"Beige,Café Oscuro,Café"
Animal,Hamster Sirio,200,imgroe\Animales\sirio.JPG,La característica principal de este pequeño roedor es la gran capacidad que tiene para almacenar comida en unos sacos situados en las mejillas. Estos sacos llamados abazones se extienden y les sirve para llevar comida de un lugar a otro. Se ha dado el caso que han usado estos abazones para transportar a alguna cría cuando el peligro acechaba.,Sirio,0.15,0.12,café
Animal,Hamster Enano,300,imgroe\Animales\chino.JPG,El temperamento con sus propietarios es realmente encantador. Una vez domesticado disfrutarás jugando con el mientras se desplaza por tus manos y brazos y le encantará que lo acaricies suavemente. Es una mascota perfecta tanto para los más pequeños como para los adultos.,Chino,0.5,0.01,Gris
Animal,Hamster Roborowski,150,imgroe\Animales\roborovski.JPG,"Son animales muy sociales y en este caso manteniendo siempre las precauciones correspondientes, se podrían llegar a tener en parejas si han convivido desde pequeñitos. Un macho con varias hembras también sería factible. Aunque como siempre se recomienda mantenerlos separados para evitar problemas mayores.",Roborovski,0.05,0.2,Marron Arena
Animal,Ardilla Coreana,250,imgroe\Animales\coreana.JPG,"Si lo que quieres es tener varias ardillas domésticas, recuerda contar con el espacio idóneo para que ellas se desarrollen de forma óptima y crezcan sanas y felices.",Sciuridae,0.5,0.24,Café con Negro
Animal,Huron Bull,1200,imgroe\Animales\huron.JPG,"Son animales pequeños, mamíferos y carnívoros. Ellos cuentan con patas cortas que los hacen alcanzar altas velocidades, particularidad que los convirtió en un factor decisivo para eliminar plagas de conejos.",Mamiferos,7,0.4,Gris
Piensos y Mezclas,Vitakraft Pienso Menu Ardillas - 600gr,87.3,imgroe\Piensos\menu.JPG,"Menú Vital es una mezcla equilibrada de especies apropiadas de ardillas que no sólo tiene un sabor delicioso a los animales, sino que también les da todo lo que necesitan para llevar una vida saludable. El complejo de vital importancia demostrado inclina más allá de los síntomas de deficiencia y proporciona un impulso extra de vitalidad! ",,,,
Piensos y Mezclas,Banquete Ardillas - 600gr,75.82,imgroe\Piensos\banquete.JPG,Banquete para Ardillas es una mezcla de alimento completo adecuado para ardillas. La mezcla premium contiene frutos secos y proteína animal y ha sido desarrollada especialmente para ardillas.,,,,
Piensos y Mezclas,Bradium Chinchilla - 1L,34.23,imgroe\Piensos\bradium.JPG,"La alimentacion de nuestras mascota es nuestra principal preocupacion, que contenga los nutrientes y las vitaminas adecuadas para su dia a dia, logrando mantener una salud completamente sana.",,,,
Piensos y Mezclas,Mix Nature Chinchilla - 1Kg,75.13,imgroe\Piensos\mix.JPG,COMINTER MIX NATURE CHINCHILLA - Alimento completo para chinchillas. Cominter Mix Chinchilla es un alimento con un alto contenido en fibra para una mejor digestión. Contiene Omega 3 y Omega 6.,,,,
Piensos y Mezclas,Bunny Dream Conejo Basic - 750gr,183.33,imgroe\Piensos\bunny.JPG,Alimento único para conejos a partir del 6° mes de edad.• Biodiversidad: 42 diferentes plantas de prados sin tratar• Crecimiento saludable: Contenido de calcio adecuado• Tamaño TriMello®,,,,
Piensos y Mezclas,Puur Conejos Enanos - 5.5Kg,581.72,imgroe\Piensos\puur.JPG,"PUUR CONEJOS ENANOS: muesli sabroso y puro seleccionado especialmente para conejos enanos. · Sabroso y variado para una buena absorción. · Fibra cruda adicional para un cuidado dental óptimo. · 27 ingredientes gourmet, como zanahoria, heno de fleo, apio, orégano y pepino.",,,,
Piensos y Mezclas,Cunipic Huron Baby - 660gr,226.99,imgroe\Piensos\huron.JPG,HURÓN BABY HASTA 1 AÑO DE EDAD. Alimento completo y equilibrado para el crecimiento de hurones baby enriquecido con vitaminas y minerales que proporcionan los nutrientes necesarios para el buen desarrollo general de su mascota.,,,,
Piensos y Mezclas,Versele Laga Ferret Complete - 750gr,119.47,imgroe\Piensos\ferret.JPG,"Trozos ricos en proteínas para los huronesTodo en uno - previene el comportamiento alimenticio selectivo. Sin cereales, pero con un 40% de proteínas animales ricas en taurina (pollo, pato, pavo) y salmón. Contiene Yuca contra los malos olores.",,,,
