Animal,Afgano,17000,ImagesPerros/afgano.jpg,"El Afgano, un perro de aspecto noble y digno, se yergue con orgullo y elegancia luciendo el largo y lustroso pelaje, que es su mayor atractivo. Es una raza grande con una altura de 68 a 74 cm en la edad adulta para el macho y de 63 a 69 cm en el caso de las hembras. El magnífico pelaje puede ser de cualquier color, desde negro a plateado, pasando por todos los colores, patrones y combinaciones entre medias. El peso medio es de 25 kg aproximadamente con un mínimo de unos 20 kg y un máximo de unos 27 kg dependiendo del sexo y la constitución del perro.",De caza,10000,15,Negro
Animal,Bedlington Terrier,15000,ImagesPerros/bedlington.jpg,"Este terrier de largas patas y tamaño mediando o pequeño es fácilmente reconocible. Tiene un cráneo estrecho y un pelaje similar al de la oveja, que se presenta en azul, marrón rojizo o en color arena, con o sin manchas canela. Los machos adultos miden entre 38 y 43 cm y pesan de 8 a 10 kg.",Terrier,15000,24,Arena
Animal,Braco De Weimar,5000,ImagesPerros/weimar.jpg,"Con su pelo corto, lustroso y gris plateado, los Bracos de Weimar son una de razas más destacables. Siendo los más altos de los perros perdigueros, son muy gráciles y veloces, llenos de brío y resistencia. ",De caza,14000,30,Gris Ratón
Animal,Terrier Sedoso Australiano,8000,ImagesPerros/terrier.jpg,"El largo y glamuroso pelaje de este perro de compañía está dividido en el lomo y puede presentarse en azul y canela, gris azulado y canela, plata y canela o plata azulada y canela. ",De compañía,1000,10,Canela
Animal,Xoloitzcuintle (Mediano),6500,ImagesPerros/Xoloitzcuintle.jpg,"El Xolo es un perro sin pelo, de piel muy suave y ligeramente más largo que alto. Su piel puede ser de color negro, gris, rojo, hígado, bronce y rubio.",,,,
Comida,GreenCare Nutrition Mini pollo y arroz para adultos,17,ImagesPerros/Greencare.jpg,"Pienso SuperPremium para perros adultos de tamaño pequeño con un peso máximo de 10 kg, hecho de pollo fresco (33%) y arroz.",Polivalente,15000,25,Gris
Comida,Braveness Receta de salmón sensible sin granos naturales,20.69,ImagesPerros/braveness.jpg,"El alimento Salmon Braveness, natural, sin cereales y hecho con 65% de salmón , es un alimento completo para perros adultos de cualquier raza y tamaño. Es un producto elaborado con ingredientes locales, lo que lo hace más fresco. Los ingredientes locales ayudan a mantener sus propiedades nutricionales mejor conservadas, para proporcionar a la salud de su mejor amigo los beneficios que necesita.",,,,
Comida,Pedigrí Tarrina Junior,24,ImagesPerros/Pedigree.jpg,"Pedigree es el alimento perfecto para tu cachorro. En una sola porción, su perro recibirá la cantidad perfecta de vitaminas, fibras y proteínas. Su cachorro siempre está en movimiento y necesita alimentos que le brinden todas las vitaminas necesarias durante el crecimiento. Pedigree ™ Puppy Pedigree ™ Complete ® proporciona a su perro antioxidantes y calcio para ayudarlo en los primeros meses de su vida. Además no hay azúcar añadido.",,,,
Comida,Royal Canin Giant Junior,80,ImagesPerros/Royal.jpg,Alimento completo para perros para cachorros de raza gigante (peso adulto> 45 kg) - De 8 a 18/24 meses,,,,
Juguetes,Bola Naranja BluJoy Kunandi,10,ImagesPerros/bola.jpg,"Es una pelota muy ligera y tiene agujeros a su alrededor, lo que hace que sea más fácil lanzarla y agarrarla fácilmente. Es perfecto para jugar en el parque, el jardín o donde sea, y en cualquier momento del día. Podrás compartir esos momentos buenos y divertidos con tu mejor amigo. Jugar con nuestros amigos peludos es muy importante para aumentar su felicidad y su energía positiva, y también les ayuda a mantener una buena salud.",,,,
